"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"1","OTU_11",0.81933452461289,0.790938791285627,0.105273512920641,"ns","ns","ns"
"2","OTU_44",0.901336871846479,0.00201181554238707,0.00603589170497015,"ns","s","s"
"3","OTU_100",0.711243421970988,2.49702889757932e-05,1.70966621360081e-05,"ns","s","s"
"4","OTU_208",0.555173225547573,0.00068418294150559,1.21323864053167e-08,"ns","s","s"
"5","OTU_239",3.63281396981027e-06,0.999994143817662,0.999992976961782,"s","ns","ns"
"6","OTU_245",0.700650786085466,0.999994835659632,0.99999398787257,"ns","ns","ns"
"7","OTU_268",0.223366315292687,0.999993871200109,0.999992598077745,"ns","ns","ns"
"8","OTU_451",0.582578040260678,0.337862692080099,2.23573422067465e-06,"ns","ns","s"
"9","OTU_483",0.816131969984041,0.309771460560345,0.146776905963769,"ns","ns","ns"
"10","OTU_880",0.00125832291711833,0.999995858523476,0.999994134111794,"s","ns","ns"
"11","OTU_924",0.0203638562030157,0.999995894011194,0.999994389808171,"s","ns","ns"
"12","OTU_966",0.76314552227381,1.1682971471111e-07,2.62902937776292e-05,"ns","s","s"
"13","OTU_1040",0.720069633535689,0.000377886457242396,0.623418573584457,"ns","s","ns"
"14","OTU_1089",0.0502178088126644,1.54628863349271e-05,2.28020419062808e-06,"ns","s","s"
"15","OTU_1153",0.786429504889829,0.0741603483085722,0.00461868581909287,"ns","ns","s"
"16","OTU_1176",0.516912515134059,0.0014173463395072,0.00632743588328384,"ns","s","s"
"17","OTU_1206",NA,NA,NA,NA,NA,NA
"18","OTU_1309",0.0185738120197015,0.999997815408719,0.999999999556269,"s","ns","ns"
"19","OTU_1390",0.643274008878017,0.129253098710877,5.44053532173633e-05,"ns","ns","s"
"20","OTU_1393",0.00444338960045858,0.00153763254096674,0.0104584389227467,"s","s","s"
"21","OTU_1398",0.858791000598605,0.25156283893682,0.179235851998751,"ns","ns","ns"
"22","OTU_1399",0.756612848020484,0.00857077265097686,0.21731140935117,"ns","s","ns"
"23","OTU_1427",0.697465243116443,0.999992081135839,0.999992276856148,"ns","ns","ns"
"24","OTU_1452",0.376153476436532,9.80862041739353e-05,3.80088684760753e-06,"ns","s","s"
"25","OTU_1475",7.9421473096447e-07,0.999994336102503,0.999993178059557,"s","ns","ns"
"26","OTU_1483",0.604402147714164,0.999992655498075,0.999991342432994,"ns","ns","ns"
"27","OTU_1505",0.025394980680329,0.999999847092829,0.999999997661747,"s","ns","ns"
"28","OTU_1512",0.0394801973192464,0.999999764389551,0.999999743441856,"s","ns","ns"
"29","OTU_1516",0.410259558970049,0.999997496360744,0.999999997981529,"ns","ns","ns"
"30","OTU_1518",0.00790487822440243,0.99999967555874,0.999999638447382,"s","ns","ns"
"31","OTU_1519",0.102294525311626,0.999984118650119,0.999980484084468,"ns","ns","ns"
"32","OTU_1523",5.46526579921316e-06,0.999997378860651,0.999999928633811,"s","ns","ns"
"33","OTU_1527",0.000386411167719293,0.99999902082897,0.999998957272672,"s","ns","ns"
"34","OTU_1529",0.28213146496022,0.999997808967104,0.999999974465055,"ns","ns","ns"
"35","OTU_1530",2.82043222806317e-06,0.999996758017765,0.999999928208582,"s","ns","ns"
"36","OTU_1548",0.0872611779024337,2.01832986310537e-06,4.7104473719878e-06,"ns","s","s"
"37","OTU_1558",0.0718724951974846,0.999993685477694,0.999993861004386,"ns","ns","ns"
"38","OTU_1570",0.393758122846414,1.78613252777105e-07,1.71905158199426e-13,"ns","s","s"
"39","OTU_1622",0.00440966053095889,8.67245042109798e-08,2.12267887805394e-11,"s","s","s"
"40","OTU_1626",1.03702012210983e-07,0.999997457004189,0.999999932985248,"s","ns","ns"
"41","OTU_1632",0.0546619789659207,0.999999832825364,0.999999997605745,"ns","ns","ns"
"42","OTU_1678",8.70802859559012e-05,0.569534795559015,0.0101381221544734,"s","ns","s"
"43","OTU_1684",0.706899650300251,0.0389783030415453,0.01713238680571,"ns","s","s"
"44","OTU_1702",8.17600150102307e-10,0.999997652822967,0.999997308733682,"s","ns","ns"
"45","OTU_1705",0.873826130704794,0.999997521502873,0.999999987514081,"ns","ns","ns"
"46","OTU_1707",0.473977609771889,0.999994711199817,0.999993791579375,"ns","ns","ns"
"47","OTU_1744",7.8119359473155e-05,0.999958593503883,0.999953254577339,"s","ns","ns"
"48","OTU_1747",0.0133193672126906,9.49627974527969e-05,0.00340748672424926,"s","s","s"
"49","OTU_1753",0.25848850794231,0.999997935731471,0.999999978969862,"ns","ns","ns"
"50","OTU_1760",0.922852585902182,0.999999725126372,0.999999998510767,"ns","ns","ns"
"51","OTU_1782",0.245269658707866,0.999992992555903,0.999993105112306,"ns","ns","ns"
"52","OTU_1797",0.579344442639463,4.93980093262475e-07,1.0071206149125e-07,"ns","s","s"
"53","OTU_1807",0.632623556648855,0.999992973242633,0.999993199611692,"ns","ns","ns"
"54","OTU_1824",0.0336218102574986,0.0392108878419901,0.190881796076191,"s","s","ns"
"55","OTU_1841",7.10658826424824e-12,0.999997949590388,0.999999902697423,"s","ns","ns"
"56","OTU_1856",0.00417115745876335,6.41919329555743e-05,0.00558791588897478,"s","s","s"
"57","OTU_1872",0.00928801112499392,0.999997879443894,0.999999984200216,"s","ns","ns"
"58","OTU_1875",0.176188678617712,0.0612087765639487,0.101605483837516,"ns","ns","ns"
"59","OTU_1892",0.807863405325584,6.18899609581429e-06,0.00107462396798067,"ns","s","s"
"60","OTU_1932",2.50796150322725e-06,0.999992939585436,0.999993134763881,"s","ns","ns"
"61","OTU_1938",0.0927445789770611,0.999598501522441,0.999591983715125,"ns","ns","ns"
"62","OTU_1939",0.00104035078026508,0.000138484371136272,0.00250273578427498,"s","s","s"
"63","OTU_1945",0.81781493733581,0.99999981412201,0.999999999031621,"ns","ns","ns"
"64","OTU_1946",0.0233930028643309,0.00100838400414304,0.000693013171830046,"s","s","s"
"65","OTU_1947",0.0212129776074433,0.000485194401832163,0.000775500597760215,"s","s","s"
"66","OTU_1949",0.758574255681013,0.999997805546395,0.999999984203992,"ns","ns","ns"
"67","OTU_1953",0.334671122306083,0.0837407359992049,0.0823401608634305,"ns","ns","ns"
"68","OTU_1965",NA,NA,NA,NA,NA,NA
"69","OTU_1974",5.26670504849525e-05,1.71683424271968e-06,3.57903202614992e-17,"s","s","s"
"70","OTU_1990",0.000486382096321343,0.999997951486407,0.999999972204556,"s","ns","ns"
"71","OTU_1995",0.138294918224184,0.999997763764904,0.999999970409997,"ns","ns","ns"
"72","OTU_2056",0.0837841939516529,0.00284225474584959,0.0015842192609918,"ns","s","s"
"73","OTU_2059",2.40733566372674e-05,0.999997712273247,0.999999975087932,"s","ns","ns"
"74","OTU_2072",1.08665783557312e-16,0.999999646750037,0.999999981783807,"s","ns","ns"
"75","OTU_2077",3.91671125774792e-17,0.999999362102731,0.999999967033674,"s","ns","ns"
"76","OTU_2088",3.82355844977014e-06,0.999993361320082,0.999993490571838,"s","ns","ns"
"77","OTU_2101",0.32609016375458,4.82605880933013e-05,0.000443126434685697,"ns","s","s"
"78","OTU_2105",0.0437096328144905,1.01455844833182e-06,3.51096433291359e-13,"s","s","s"
"79","OTU_2107",2.45971373156238e-10,0.999997412451739,0.999999892818398,"s","ns","ns"
"80","OTU_2109",0.0140167362733588,0.999997687715468,0.999999986073899,"s","ns","ns"
"81","OTU_2112",0.849850403351575,0.000358517608380709,0.000576333340993881,"ns","s","s"
"82","OTU_2113",4.32673612616581e-12,0.999995921225339,0.99999975918163,"s","ns","ns"
"83","OTU_2118",2.08409099631439e-08,0.999997690026315,0.999999942851925,"s","ns","ns"
"84","OTU_2120",0.1991345076191,0.99999124807094,0.999991545576949,"ns","ns","ns"
"85","OTU_2121",0.925628402974847,0.171189824223894,0.239363382693431,"ns","ns","ns"
"86","OTU_2122",6.40596832349863e-16,0.999995390793149,0.99999970801125,"s","ns","ns"
"87","OTU_2127",0.0399182759795533,5.53323034894511e-05,0.00220326162038977,"s","s","s"
"88","OTU_2129",0.272704026251158,0.0729526971151215,0.57607980269803,"ns","ns","ns"
"89","OTU_2131",0.536921969630264,4.2183471588657e-05,0.000200337532566327,"ns","s","s"
"90","OTU_2138",6.18944876744699e-06,0.000329420190095357,0.374671048688843,"s","s","ns"
"91","OTU_2140",3.09242747549257e-07,0.999999326862311,0.999999324095777,"s","ns","ns"
"92","OTU_2147",0.0302080240093361,6.87761300302588e-05,0.179826431267023,"s","s","ns"
"93","OTU_2152",0.0015855425827412,0.0125463697697745,0.735278839460113,"s","s","ns"
"94","OTU_2154",0.000751625490273412,0.999997800906399,0.999999986910242,"s","ns","ns"
"95","OTU_2160",0.131271490176726,5.37192755024186e-06,0.000132309782785272,"ns","s","s"
"96","OTU_2161",0.943036999164834,1.55223148205534e-15,1.07276328276177e-93,"ns","s","s"
"97","OTU_2163",0.0120199975826735,0.000119837429351435,8.61307923794238e-09,"s","s","s"
